Verse,Reference,Topic
"For the Lord is the Spirit, and wherever the Spirit of the Lord is, there is freedom.",2 Corinthians 3:17,Freedom
And the Lord—who is the Spirit—makes us more and more like him as we are changed into his glorious image.,2 Corinthians 3:18,Holy Spirit
He has enabled us to be ministers of his new covenant.,2 Corinthians 3:6,Holy Spirit
"Though our bodies are dying, our spirits are being renewed every day.",2 Corinthians 4:16,Renewal
Our present troubles are small and won’t last very long. Yet they produce for us a glory that vastly outweighs them.,2 Corinthians 4:17,Patience
So we fix our gaze on things that cannot be seen. For the things we see now will soon be gone.,2 Corinthians 4:18,Transformation
This means that anyone who belongs to Christ has become a new person. The old life is gone; a new life has begun!,2 Corinthians 5:17,New Beginnings
"God was in Christ, reconciling the world to himself, no longer counting people’s sins against them.",2 Corinthians 5:19,Forgiveness
"For God made Christ, who never sinned, to be the offering for our sin.",2 Corinthians 5:21,Jesus
For we live by believing and not by seeing.,2 Corinthians 5:7,Doubt
Thanks be to God for his indescribable gift!,2 Corinthians 9:15,Gratitude
And God will generously provide all you need.,2 Corinthians 9:8,Grace
God is being patient for your sake. He does not want anyone to be destroyed.,2 Peter 3:9,Patience
You rescued me because you delighted in me.,2 Samuel 22:20,Compassion
"My God is my rock, in whom I find protection. He is my shield, the power that saves me.",2 Samuel 22:3,Trust
He is a shield to all who look to him for protection.,2 Samuel 22:31,Trust
Now may the Lord of peace himself give you peace at all times in every way. The Lord be with you all.,2 Thessalonians 3:16,Peace
But the Lord is faithful; he will strengthen you and guard you from the evil one.,2 Thessalonians 3:3,Compassion
"Through the power of the Holy Spirit who lives within us, carefully guard the precious truth that has been entrusted to you.",2 Timothy 1:14,Holy Spirit
"For God has not given us a spirit of fear and timidity, but of power, love, and self-discipline.",2 Timothy 1:7,Creation
God saved us and called us to live a holy life. He did this not because we deserved it.,2 Timothy 1:9,Grace
Be strong through the grace that God gives you in Christ Jesus.,2 Timothy 2:1,Empowerment
"Endure suffering along with me, as a good soldier of Christ Jesus.",2 Timothy 2:3,Patience
But the Lord stood with me and gave me strength.,2 Timothy 4:17,Support
"All joined together constantly in prayer, along with the women and Mary the mother of Jesus, and with his brothers.",Acts 1:14,Mary
You will receive power when the Holy Spirit comes upon you. And you will be my witnesses.,Acts 1:8,Holy Spirit
God anointed Jesus of Nazareth with the Holy Spirit and with power.,Acts 10:38,Anointing
"The Holy Spirit said, 'Appoint Barnabas and Saul for the special work I have called them to.'",Acts 13:2,Holy Spirit
"You are to be a light for the Gentiles, bringing salvation to the ends of the earth.",Acts 13:47,Light in Darkness
"He encouraged them to continue in the faith, reminding them that we must suffer many hardships to enter the Kingdom of God.",Acts 14:22,Disciples
"They spent a long time there, preaching boldly about the grace of the Lord.",Acts 14:3,Disciples
"We believe that we are all saved the same way, by the undeserved grace of the Lord Jesus.",Acts 15:11,Grace
His purpose was for the nations to seek after God and perhaps feel their way toward him and find him—though he is not far from any one of us.,Acts 17:27,God's Presence
"Peter said, 'Each of you must repent... Then you will receive the gift of the Holy Spirit.'",Acts 2:38,Holy Spirit
"They were all filled with the Holy Spirit and began speaking in other languages, as the Spirit gave them ability.",Acts 2:4,Holy Spirit
And they devoted themselves to the apostles’ teaching and to fellowship.,Acts 2:42,Disciples
Every day they continued to meet together in the temple courts. They broke bread in their homes and ate together with glad and sincere hearts.,Acts 2:46,Disciples
And the Lord added to their fellowship each day those who were being saved.,Acts 2:47,Disciples
"Repent of your sins and turn to God, so that your sins may be wiped away.",Acts 3:19,Forgiveness
A man lame from birth was being carried in. Each day he was put beside the Temple gate.,Acts 3:2,Disciples
"Then times of refreshment will come from the presence of the Lord, and he will again send you Jesus, your appointed Messiah.",Acts 3:20,God's Presence
"Peter said, 'I don’t have any silver or gold for you. But I’ll give you what I have.'",Acts 3:6,Disciples
Instantly the man’s feet and ankles were healed and strengthened.,Acts 3:7,Disciples
"He jumped up, stood on his feet, and began to walk!",Acts 3:8,Disciples
There is salvation in no one else! God has given no other name under heaven by which we must be saved.,Acts 4:12,Disciples
The members of the council were amazed when they saw the boldness of Peter and John.,Acts 4:13,Disciples
We cannot stop telling about everything we have seen and heard.,Acts 4:20,Disciples
"After prayer, the meeting place shook, and they were all filled with the Holy Spirit.",Acts 4:31,Holy Spirit
All the believers were united in heart and mind.,Acts 4:32,Disciples
And God’s great blessing was upon them all.,Acts 4:33,Disciples
"There were no needy people among them, because those who owned land or houses would sell them.",Acts 4:34,Disciples
Barnabas sold a field he owned and brought the money to the apostles.,Acts 4:37,Disciples
The apostles performed many miraculous signs and wonders among the people.,Acts 5:12,Disciples
"They chose Stephen, a man full of faith and the Holy Spirit.",Acts 6:5,Disciples
The word of God kept on spreading; the number of the disciples continued to increase greatly in Jerusalem.,Acts 6:7,Disciples
"Stephen, a man full of God’s grace and power, performed amazing miracles and signs.",Acts 6:8,Disciples
We also pray that you will be strengthened with all his glorious power so you will have all the endurance and patience you need.,Colossians 1:11,Patience
We pray that God will enable you to live a life worthy of his call... always thanking the Father.,Colossians 1:12,Gratitude
He has rescued us from the kingdom of darkness and transferred us into the Kingdom of his dear Son.,Colossians 1:13,Freedom
"God has rescued us from the kingdom of darkness and transferred us into the Kingdom of his dear Son, who purchased our freedom and forgave our sins.",Colossians 1:13-14,Forgiveness
Christ is the visible image of the invisible God.,Colossians 1:15,Jesus
For through him God created everything in the heavenly realms and on earth.,Colossians 1:16,Jesus
"He existed before anything else, and he holds all creation together.",Colossians 1:17,Jesus
Through him God reconciled everything to himself. He made peace with everything in heaven and on earth.,Colossians 1:20,Freedom
"And because of him, you have been made full.",Colossians 2:10,Jesus
You were buried with Christ when you were baptized. And with him you were raised to new life.,Colossians 2:12,Jesus
You were dead because of your sins... Then God made you alive with Christ.,Colossians 2:13,Transformation
He canceled the record of the charges against us and took it away by nailing it to the cross.,Colossians 2:14,Freedom
"Let your roots grow down into him, and let your lives be built on him.",Colossians 2:7,Growth
For in Christ lives all the fullness of God in a human body.,Colossians 2:9,Jesus
"Since you have been raised to new life with Christ, set your sights on the realities of heaven.",Colossians 3:1,Jesus
"Put on your new nature, and be renewed as you learn to know your Creator and become like him.",Colossians 3:10,Transformation
"Put on then, as God's chosen ones, holy and beloved, compassionate hearts, kindness, humility, meekness, and patience.",Colossians 3:12,Compassion
"Make allowance for each other’s faults, and forgive anyone who offends you.",Colossians 3:13,Forgiveness
"Above all, clothe yourselves with love, which binds us all together in perfect harmony.",Colossians 3:14,Unity
"Let the peace of Christ rule in your hearts, to which indeed you were called in one body. And be thankful.",Colossians 3:15,Peace
Let the message about Christ... fill your lives. Teach and counsel each other... and sing psalms and hymns... with thankful hearts.,Colossians 3:16,Gratitude
"Put to death the sinful, earthly things lurking within you.",Colossians 3:5,Transformation
You used to do these things when your life was still part of this world.,Colossians 3:7,Transformation
Devote yourselves to prayer with an alert mind and a thankful heart.,Colossians 4:2,Gratitude
Let your conversation be gracious and attractive so that you will have the right response for everyone.,Colossians 4:6,Grace
"Don’t be afraid,” he said, “for you are very precious to God. Peace! Be encouraged!",Daniel 10:19,Comfort
"He reveals deep and mysterious things and knows what lies hidden in darkness, though he is surrounded by light.",Daniel 2:22,Light in Darkness
"The Lord our God is merciful and forgiving, even though we have rebelled against him.",Daniel 9:9,Forgiveness
Do not be afraid of them; the Lord your God himself will fight for you.,Deuteronomy 3:22,Courage
Be strong and courageous … I myself will be with you.,Deuteronomy 31:23,Comfort
So be strong and courageous! Do not be afraid and do not panic before them.,Deuteronomy 31:6,Faith
The Lord himself goes before you and will be with you.,Deuteronomy 31:8,Courage
"The eternal God is your refuge, and his everlasting arms are under you.",Deuteronomy 33:27,Refuge
For the Lord your God is a merciful God; he will not abandon you.,Deuteronomy 4:31,Compassion
You must not test the Lord your God.,Deuteronomy 6:16,Doubt
"I thought, “Wisdom is better than foolishness, just as light is better than darkness.",Ecclesiastes 2:13,Wisdom
"For everything there is a season, a time for every activity under heaven.",Ecclesiastes 3:1,Time
He has planted eternity in the human heart.,Ecclesiastes 3:11,Eternity
You were sealed with the promised Holy Spirit when you believed.,Ephesians 1:13,Holy Spirit
God chose us in Christ before the creation of the world to be holy and without fault in his eyes.,Ephesians 1:4,Jesus
So we praise God for the glorious grace he has poured out on us who belong to his dear Son.,Ephesians 1:6,Grace
He is so rich in kindness and grace that he purchased our freedom with the blood of his Son.,Ephesians 1:7,Grace
God has now revealed to us his mysterious will regarding Christ.,Ephesians 1:9,Jesus
For we are God’s masterpiece. He has created us anew in Christ Jesus.,Ephesians 2:10,Purpose
Christ himself has brought peace to us. He united Jews and Gentiles into one people.,Ephesians 2:14,Unity
"Together as one body, Christ reconciled both groups to God by means of his death on the cross.",Ephesians 2:16,Unity
He came and preached peace to you who were far away and peace to those who were near.,Ephesians 2:17,Peace
For we are both God’s people because of what Christ has done.,Ephesians 2:18,Unity
"We are carefully joined together in him, becoming a holy temple for the Lord.",Ephesians 2:21,Unity
Through him you Gentiles are also being made part of this dwelling where God lives by his Spirit.,Ephesians 2:22,Unity
"But God is so rich in mercy, and he loved us so much.",Ephesians 2:4,Grace
"Even when we were dead because of our sins, he gave us life when he raised Christ from the dead.",Ephesians 2:5,Mercy
God saved you by his grace when you believed. And you can’t take credit for this; it is a gift from God.”,Ephesians 2:8,God's Presence
"Salvation is not a reward for the good things we have done, so none of us can boast about it.",Ephesians 2:9,Faith
"Because of Christ and our faith in him, we can now come boldly and confidently into God’s presence.",Ephesians 3:12,Jesus
"I pray that from his glorious, unlimited resources he will empower you with inner strength through his Spirit.",Ephesians 3:16,Holy Spirit
And we have been given the Spirit so we can experience the fullness of God.,Ephesians 3:19,Holy Spirit
"Speak the truth in love, growing in every way more and more like Christ.",Ephesians 4:15,Love
He makes the whole body fit together perfectly... as each part does its own special work.,Ephesians 4:16,Holy Spirit
"Always be humble and gentle. Be patient with each other, making allowance for each other’s faults because of your love.",Ephesians 4:2,Humility
"Since you have heard about Jesus and have learned the truth that comes from him, throw off your old sinful nature and your former way of life, which is corrupted by lust and deception. Instead, let the Spirit renew your thoughts and attitudes. Put on your new nature, created to be like God—truly righteous and holy.",Ephesians 4:21-24,New Beginnings
"Instead, let the Spirit renew your thoughts and attitudes.",Ephesians 4:23,Transformation
"Put on your new nature, created to be like God—truly righteous and holy.",Ephesians 4:24,Transformation
"So stop telling lies. Let us tell our neighbors the truth, for we are all parts of the same body.",Ephesians 4:25,Unity
Don’t sin by letting anger control you. Don’t let the sun go down while you are still angry.,Ephesians 4:26,Forgiveness
Don’t use foul or abusive language. Let everything you say be good and helpful.,Ephesians 4:29,Love
"Make every effort to keep yourselves united in the Spirit, binding yourselves together with peace.",Ephesians 4:3,Love
"Do not grieve the Holy Spirit of God, by whom you were sealed for the day of redemption.",Ephesians 4:30,Holy Spirit
"Let all bitterness and wrath and anger and clamor and slander be put away from you, along with all malice.",Ephesians 4:31,Forgiveness
"Instead, be kind to each other, tenderhearted, forgiving one another.",Ephesians 4:32,Compassion
"For there is one body and one Spirit, just as you have been called to one glorious hope for the future.",Ephesians 4:4,Unity
"Imitate God, therefore, in everything you do, because you are his dear children.",Ephesians 5:1,Unity
"Awake, O sleeper, rise up from the dead, and Christ will give you light.",Ephesians 5:14,Light in Darkness
"Don’t be drunk with wine... Instead, be filled with the Holy Spirit.",Ephesians 5:18,Holy Spirit
"Live a life filled with love, following the example of Christ.",Ephesians 5:2,Unity
And give thanks for everything to God the Father in the name of our Lord Jesus Christ.,Ephesians 5:20,Gratitude
Christ gave up his life for the church.,Ephesians 5:25,Jesus
"For once you were full of darkness, but now you have light from the Lord.",Ephesians 5:8,Light in Darkness
"Finally, be strong in the Lord and in his mighty power.",Ephesians 6:10,Strength
The Lord will fight for you. You need only to be still.,Exodus 14:14,Courage
The Lord is my strength and my defense; he has become my salvation.,Exodus 15:2,Strength
I have seen how my people are suffering in Egypt. I have heard them crying for help.,Exodus 3:7,Compassion
"I will personally go with you, Moses, and I will give you rest—everything will be fine for you.",Exodus 33:14,God's Presence
"The LORD replied, “I will make all my goodness pass before you, and I will call out my name, Yahweh, before you. For I will show mercy to anyone I choose, and I will show compassion to anyone I choose.”",Exodus 33:19,Compassion
I will give you a new heart and put a new spirit in you.,Ezekiel 11:19,Transformation
I myself will tend my sheep and give them a place to lie down in peace.,Ezekiel 34:15,Shepherd
God will place over them one shepherd—my servant David. He will feed them and be a shepherd to them.,Ezekiel 34:23,Shepherd
I will make a covenant of peace with my people.,Ezekiel 34:25,Peace
"And I will give you a new heart, and I will put a new spirit in you. I will take out your stony, stubborn heart and give you a tender, responsive heart.",Ezekiel 36:26,New Beginnings
I will put my Spirit in you so that you will follow my decrees.,Ezekiel 36:27,Holy Spirit
"I have been crucified with Christ. It is no longer I who live, but Christ lives in me.",Galatians 2:20,Transformation
"And all who have been united with Christ in baptism have put on Christ, like putting on new clothes.",Galatians 3:27,Water & Life
You are no longer a slave but God’s own child.,Galatians 4:7,Freedom
"It is for freedom that Christ has set us free. Stand firm, then, and do not let yourselves be burdened again by a yoke of slavery.",Galatians 5:1,Freedom
"You have been called to live in freedom, my brothers and sisters. But don’t use your freedom to satisfy your sinful nature.",Galatians 5:13,Freedom
Let the Holy Spirit guide your lives. Then you won’t be doing what your sinful nature craves.,Galatians 5:16,Transformation
"But the Holy Spirit produces this kind of fruit in our lives: love, joy, peace...",Galatians 5:22,Spirit
"Since we are living by the Spirit, let us follow the Spirit’s leading in every part of our lives.",Galatians 5:25,Holy Spirit
May I never boast about anything except the cross of our Lord Jesus Christ.,Galatians 6:14,Humility
"Share each other’s burdens, and in this way obey the law of Christ.",Galatians 6:2,Love
Let’s not get tired of doing what is good.,Galatians 6:9,Endurance
In the beginning God created the heavens and the earth.,Genesis 1:1,New Beginnings
"Let there be light, and there was light.",Genesis 1:3,Light in Darkness
Then the Lord God formed the man from the dust of the ground.,Genesis 2:7,Transformation
"When the cool evening breezes were blowing, the man and his wife heard the Lord God walking about in the garden. So they hid from the Lord God among the trees.”",Genesis 3:8,God's Presence
Yet I will rejoice in the Lord! I will be joyful in the God of my salvation!,Habakkuk 3:18,Joy
"The Sovereign LORD is my strength! He makes me as surefooted as a deer, able to tread upon the heights.",Habakkuk 3:19,Strength
The Son radiates God’s own glory and expresses the very character of God.,Hebrews 1:3,Jesus
Then he adds: 'I will remember their sins and their lawless deeds no more.',Hebrews 10:17,Forgiveness
"Let us hold tightly without wavering to the hope we affirm, for God can be trusted to keep his promise.",Hebrews 10:23,Faith
Let us think of ways to motivate one another to acts of love and good works.,Hebrews 10:24,Love
"Let us not neglect our meeting together, as some people do, but encourage one another.",Hebrews 10:25,Unity
So do not throw away this confident trust in the Lord. Remember the great reward it brings you!,Hebrews 10:35,Trust
"Patient endurance is what you need now, so that you will continue to do God’s will.",Hebrews 10:36,Patience
Faith shows the reality of what we hope for; it is the evidence of things we cannot see.,Hebrews 11:1,Faith
And it is impossible to please God without faith. Anyone who wants to come to him must believe that God exists and that he rewards those who sincerely seek him.,Hebrews 11:6,Faith
"Looking to Jesus, the author and finisher of our faith.",Hebrews 12:2,Jesus
Let us be thankful and please God by worshiping him with holy fear and awe.,Hebrews 12:28,Gratitude
Keep on loving each other as brothers and sisters.,Hebrews 13:1,Love
I will never fail you. I will never abandon you.,Hebrews 13:5,Compassion
"So we can say with confidence, 'The Lord is my helper, so I will have no fear.'",Hebrews 13:6,Courage
"Jesus Christ is the same yesterday, today, and forever.",Hebrews 13:8,Jesus
Let us hold firmly to what we believe. This High Priest of ours understands our weaknesses.,Hebrews 4:14-15,Patience
Let us come boldly to the throne of our gracious God.,Hebrews 4:16,Confidence
"Then you will not become spiritually dull and indifferent. Instead, you will follow the example of those who are going to inherit God’s promises because of their faith and endurance.",Hebrews 6:12,Patience
We who have fled to him for refuge can have great confidence as we hold to the hope that lies before us.,Hebrews 6:18,Hope
"We have this hope as an anchor for the soul, firm and secure.",Hebrews 6:19,Hope
"I will forgive their wickedness, and I will never again remember their sins.",Hebrews 8:12,Forgiveness
"Though your sins are like scarlet, I will make them as white as snow.",Isaiah 1:18,Forgiveness
With joy you will drink deeply from the fountain of salvation!,Isaiah 12:3,Water & Life
The Lord will mediate between nations and settle international disputes.,Isaiah 2:4,Peace
"You are a tower of refuge to the poor, O Lord, a tower of refuge to the needy in distress.",Isaiah 25:4,Refuge
"You will keep in perfect peace all who trust in you, all whose thoughts are fixed on you!",Isaiah 26:3,Trust
The humble will be filled with fresh joy from the Lord.,Isaiah 29:19,Humility
So the LORD must wait for you to come to him so he can show you his love and compassion. For the LORD is a faithful God. Blessed are those who wait for his help.,Isaiah 30:18,Compassion
"Then justice will dwell in the wilderness, and righteousness will abide in the fruitful field. And the effect of righteousness will be peace.",Isaiah 32:16-17,Peace
The fruit of righteousness will be peace; its effect will be quietness and confidence forever.,Isaiah 32:17,Peace
"Say to those with fearful hearts, 'Be strong, and do not fear …'",Isaiah 35:4,Comfort
"Comfort, comfort my people,” says your God.",Isaiah 40:1,Compassion
"He will feed his flock like a shepherd. He will carry the lambs in his arms, holding them close to his heart.",Isaiah 40:11,Shepherd
Speak tenderly to Jerusalem… her sad days are gone …,Isaiah 40:2,Comfort
He gives strength to the weary and increases the power of the weak.,Isaiah 40:29,Courage
But those who trust in the Lord will find new strength. They will soar high on wings like eagles. They will run and not grow weary. They will walk and not faint.,Isaiah 40:31,Hope
"Don't be afraid, for I am with you. Don't be discouraged, for I am your God. I will strengthen you and help you. I will hold you up with my victorious right hand.",Isaiah 41:10,Strength
"For I hold you by your right hand—I, the Lord your God.",Isaiah 41:13,Companionship
I will open up rivers for them on the high plateaus. I will give them fountains of water in the valleys.,Isaiah 41:18,Water & Life
I am the one who lights a candle in the darkness.,Isaiah 42:16,Light in Darkness
He will not crush the weakest reed or put out a flickering candle.,Isaiah 42:3,Mercy
"Fear not, for I have redeemed you; I have called you by name, you are mine.",Isaiah 43:1,Courage
"For I am about to do something new. See, I have already begun! Do you not see it? I will make a pathway through the wilderness. I will create rivers in the dry wasteland.",Isaiah 43:19,New Beginnings
"When you go through deep waters, I will be with you. When you go through rivers of difficulty, you will not drown. When you walk through the fire of oppression, you will not be burned up; the flames will not consume you.",Isaiah 43:2,Comfort
You provide streams of water in the desert—so that my chosen people can be refreshed.,Isaiah 43:20,Water & Life
I have blotted out your sins like a cloud. I have scattered your offenses like the morning mist.,Isaiah 44:22,Forgiveness
I will pour water to quench your thirst and to irrigate your parched fields.,Isaiah 44:3,Water & Life
"I will be your God throughout your lifetime… I made you, and I will care for you.",Isaiah 46:4,Compassion
They will neither hunger nor thirst. The searing sun will not reach them anymore. For the LORD in his mercy will lead them; he will lead them beside cool waters.,Isaiah 49:10,Compassion
"Sing for joy, O heavens! Rejoice, O earth! Burst into song, O mountains! For the LORD has comforted his people and will have compassion on them in their suffering.",Isaiah 49:13,Compassion
"Because the Sovereign Lord helps me, I will not be disgraced. Therefore, I have set my face like a stone.",Isaiah 50:7,Courage
"I, yes I, will comfort you. So why are you afraid of mere humans?",Isaiah 51:12,Comfort
"For the mountains may move and the hills disappear, but even then my faithful love for you will remain. My covenant of blessing will never be broken,” says the LORD, who has mercy on you.",Isaiah 54:10,Compassion
Is anyone thirsty? Come and drink— even if you have no money!,Isaiah 55:1,Water & Life
You will go out in joy and be led forth in peace.,Isaiah 55:12,Joy
Seek the Lord while you can find him. Call on him now while he is near.,Isaiah 55:6,God's Presence
Let the wicked change their ways and banish the very thought of doing wrong. Let them turn to the Lord that he may have mercy on them.,Isaiah 55:7,Mercy
The Lord says: 'I live in the high and holy place with those whose spirits are contrite and humble.',Isaiah 57:15,God's Presence
Help those in trouble. Then your light will shine out from the darkness.,Isaiah 58:10,Love
"The Lord will guide you continually, giving you water when you are dry and restoring your strength.",Isaiah 58:11,Guidance
"The Lord will be your everlasting light, and your God will be your glory.",Isaiah 60:19,Light in Darkness
"The Spirit of the Sovereign Lord is upon me, for the Lord has anointed me to bring good news to the poor.",Isaiah 61:1,Compassion
I am overwhelmed with joy in the Lord my God! For he has dressed me with the clothing of salvation.,Isaiah 61:10,Grace
"The oil of joy instead of mourning, and a garment of praise instead of a spirit of despair.",Isaiah 61:3,Anointing
"I will tell of the LORD 's unfailing love. I will praise the LORD for all he has done. I will rejoice in his great goodness to Israel, which he has granted according to his mercy and love.",Isaiah 63:7,Compassion
In his love and mercy he redeemed them. He lifted them up and carried them through all the years.,Isaiah 63:9,Compassion
I will comfort you there in Jerusalem as a mother comforts her child.,Isaiah 66:13,Compassion
The people who walk in darkness will see a great light.,Isaiah 9:2,Light in Darkness
He will be called... Prince of Peace.,Isaiah 9:6,Peace
God blesses those who patiently endure testing and temptation.,James 1:12,Perseverance
"For you know that when your faith is tested, your endurance has a chance to grow.",James 1:3,Patience
"So let it grow, for when your endurance is fully developed, you will be perfect and complete, needing nothing.",James 1:4,Patience
"If you need wisdom, ask our generous God, and he will give it to you. He will not rebuke you for asking.",James 1:5,Wisdom
"If you need wisdom, ask our generous God, and he will give it to you… but when you ask him, be sure that your faith is in God alone.",James 1:5-6,Doubt
"You say you have faith, for you believe that there is one God. Good for you! Even the demons believe this, and they tremble in terror.",James 2:19,Faith
"So you see, we are shown to be right with God by what we do, not by faith alone.",James 2:24,Faith
"If you are wise and understand God’s ways, prove it by living an honorable life, doing good works with the humility that comes from wisdom.",James 3:13,Humility
