Topic,Reference,Verse
Compassion,Psalm 34:18,"The Lord is near to those who have a broken heart, and saves those who have a crushed spirit."
Courage,Psalm 34:4,"I sought God, and he answered me, and delivered me from all my fears."
Water & Life,Psalm 36:9,For with you is the spring of life. In your light we will see light.
Doubt,Psalm 37:23,A man’s steps are established by the Lord. He delights in his way.
Compassion,Psalm 37:24,"Though he stumble, he shall not fall, for Yahweh holds him up with his hand."
Comfort,Psalm 38:15,"For I hope in you, Yahweh. You will answer, Lord my God."
Comfort,Psalm 39:7,"Now, Lord, what do I wait for? My hope is in you."
Comfort,Psalm 40:2,"He brought me up also out of a horrible pit, out of the miry clay. He set my feet on a rock, and gave me a firm place to stand."
Anointing,Psalm 45:7,"You have loved righteousness, and hated wickedness. Therefore God, your God, has anointed you with the oil of gladness above your fellows."
Compassion,Psalm 51:1,"Have mercy on me, God, according to your loving kindness. According to the multitude of your tender mercies, blot out my transgressions."
New Beginnings,Psalm 51:10,"Create in me a clean heart, O God. Renew a right spirit within me."
Mercy,Psalm 51:2,Wash me thoroughly from my iniquity. Cleanse me from my sin.
Trust,Psalm 52:8,I trust in God’s loving kindness forever and ever.
Trust,Psalm 55:22,Cast your burden on Yahweh and he will sustain you.
Doubt,Psalm 56:8,You count my wanderings. You put my tears into your container.
Refuge,Psalm 57:1,"Be merciful to me, God, be merciful to me, for my soul takes refuge in you."
Doubt,Psalm 57:2,"I cry out to God Most High, to God who accomplishes my requests for me."
Trust,Psalm 62:5,"My soul, wait in silence for God alone, for my expectation is from him."
Stability,Psalm 62:6,"He alone is my rock and my salvation, my fortress. I will not be shaken."
Water & Life,Psalm 65:9,The river of God is full of water.
Refuge,Psalm 71:1,"In you, my Lord, I take refuge. Never let me be disappointed."
Eternity,Psalm 73:26,"My flesh and my heart fails, but God is the strength of my heart and my portion forever."
Compassion,Psalm 77:14,You are the God who does wonders. You have made your strength known among the peoples.
Trust,Psalm 86:2,"Preserve my soul, for I am godly. You, my God, save your servant who trusts in you."
Refuge,Psalm 91:14,"The Lord says, 'I will rescue those who love me. I will protect those who trust in my name.'"
Compassion,Psalm 92:14,They will still produce fruit in old age. They will be full of sap and green.
Comfort,Psalm 94:18,"When I said, “My foot is slipping!” Your loving kindness, my Lord, held me up."
Comfort,Psalm 94:19,"In the multitude of my thoughts within me, your comforts delight my soul."
Shepherd,Psalm 95:6-7,"Oh come, let’s worship and bow down. Let’s kneel before Yahweh, our Maker, for he is our God. We are the people of his pasture, and the sheep in his care."
EternalLife,Revelation 1:17-18,"Don’t be afraid. I am the first and the last, 18 and the Living one. I was dead, and behold, I am alive forever and ever. Amen."
Compassion,Revelation 21:4,"He will wipe away every tear from their eyes. Death will be no more; neither will there be mourning, nor crying, nor pain any more. The first things have passed away."
Water & Life,Revelation 21:6,"I am the Alpha and the Omega, the Beginning and the End. I will give freely to him who is thirsty from the spring of the water of life."
Shepherd,Revelation 7:17,For the Lamb who is in the middle of the throne shepherds them and leads them to springs of life-giving waters. And God will wipe away every tear from their eyes.
Love,Romans 12:15,Rejoice with those who rejoice. Weep with those who weep.
Peace,Romans 12:18,"If it is possible, as much as it is up to you, be at peace with all men."
Unity,Romans 12:5,"So we, who are many, are one body in Christ, and individually members of one another."
Love,Romans 12:9,Let love be without hypocrisy. Abhor that which is evil. Cling to that which is good.
Love,Romans 13:10,Love doesn’t harm a neighbor. Love therefore is the fulfillment of the law.
Unity,Romans 14:19,"So then, let’s follow after things which make for peace, and things by which we may build one another up."
Love,Romans 15:2,"Let each one of us please his neighbor for that which is good, to be building him up."
Unity,Romans 15:5,Now the God of perseverance and of encouragement grant you to be of the same mind with one another according to Christ Jesus.
Peace,Romans 8:6,"For the mind of the flesh is death, but the mind of the Spirit is life and peace."
